Liczba;       Biblioteka;            SzeregP-K;                SzeregK-P;            PoprzednikP-K;          PoprzednikK-P
-0.020;-0.01999733397314978206;-0.01999733397314978206;-0.01999733397314978206;-0.01999733397314978206;-0.01999733397314978206
-0.010;-0.00999966668666448476;-0.00999966668666448476;-0.00999966668666448476;-0.00999966668666448476;-0.00999966668666448476
0.000;0.00000000000000075287;0.00000000000000075287;0.00000000000000075287;0.00000000000000075287;0.00000000000000075287
0.010;0.00999966668666599050;0.00999966668666599050;0.00999966668666599050;0.00999966668666599050;0.00999966668666599050
0.020;0.01999733397315128433;0.01999733397315128433;0.01999733397315128433;0.01999733397315128433;0.01999733397315128433
0.030;0.02999100485687865303;0.02999100485687865303;0.02999100485687865303;0.02999100485687865303;0.02999100485687865303
0.040;0.03997868712329080004;0.03997868712329080698;0.03997868712329080004;0.03997868712329080698;0.03997868712329080698
0.050;0.04995839572194352152;0.04995839572194352152;0.04995839572194352152;0.04995839572194352152;0.04995839572194352152
0.060;0.05992815512120864413;0.05992815512120864413;0.05992815512120864413;0.05992815512120864413;0.05992815512120864413
0.070;0.06988600163464325776;0.06988600163464324388;0.06988600163464325776;0.06988600163464324388;0.06988600163464324388
0.080;0.07982998571223806628;0.07982998571223806628;0.07982998571223806628;0.07982998571223806628;0.07982998571223806628
0.090;0.08975817418995125918;0.08975817418995125918;0.08975817418995125918;0.08975817418995125918;0.08975817418995125918
0.100;0.09966865249116275971;0.09966865249116274583;0.09966865249116275971;0.09966865249116274583;0.09966865249116274583
0.110;0.10955952677394507899;0.10955952677394507899;0.10955952677394507899;0.10955952677394507899;0.10955952677394507899
0.120;0.11942892601833916821;0.11942892601833918209;0.11942892601833916821;0.11942892601833918209;0.11942892601833918209
0.130;0.12927500404814376567;0.12927500404814376567;0.12927500404814376567;0.12927500404814376567;0.12927500404814376567
0.140;0.13909594148207204967;0.13909594148207204967;0.13909594148207204967;0.13909594148207204967;0.13909594148207204967
0.150;0.14888994760949797458;0.14888994760949800233;0.14888994760949797458;0.14888994760949800233;0.14888994760949800233
0.160;0.15865526218640213507;0.15865526218640219058;0.15865526218640213507;0.15865526218640219058;0.15865526218640219058
0.170;0.16839015714753063913;0.16839015714753063913;0.16839015714753063913;0.16839015714753063913;0.16839015714753063913
0.180;0.17809293823119828892;0.17809293823119826117;0.17809293823119828892;0.17809293823119826117;0.17809293823119826117
0.190;0.18776194651359418009;0.18776194651359412457;0.18776194651359418009;0.18776194651359412457;0.18776194651359412457
0.200;0.19739555984988152448;0.19739555984988155224;0.19739555984988152448;0.19739555984988155224;0.19739555984988155224
0.210;0.20699219421982179012;0.20699219421982181788;0.20699219421982179012;0.20699219421982181788;0.20699219421982181788
0.220;0.21655030497609004114;0.21655030497609009665;0.21655030497609004114;0.21655030497609009665;0.21655030497609009665
0.230;0.22606838799388467853;0.22606838799388470629;0.22606838799388467853;0.22606838799388470629;0.22606838799388470629
0.240;0.23554498072086413329;0.23554498072086410554;0.23554498072086413329;0.23554498072086410554;0.23554498072086410554
0.250;0.24497866312686494839;0.24497866312686489287;0.24497866312686494839;0.24497866312686489287;0.24497866312686492063
0.260;0.25436805855326671821;0.25436805855326671821;0.25436805855326671821;0.25436805855326671821;0.25436805855326671821
0.270;0.26371183446226692526;0.26371183446226692526;0.26371183446226692526;0.26371183446226692526;0.26371183446226692526
0.280;0.27300870308671137954;0.27300870308671137954;0.27300870308671137954;0.27300870308671137954;0.27300870308671137954
0.290;0.28225742198149189610;0.28225742198149184059;0.28225742198149189610;0.28225742198149184059;0.28225742198149184059
0.300;0.29145679447786787541;0.29145679447786787541;0.29145679447786787541;0.29145679447786787541;0.29145679447786787541
0.310;0.30060567004239618916;0.30060567004239624467;0.30060567004239618916;0.30060567004239624467;0.30060567004239624467
0.320;0.30970294454245700377;0.30970294454245711480;0.30970294454245700377;0.30970294454245711480;0.30970294454245711480
0.330;0.31874756042064522621;0.31874756042064522621;0.31874756042064522621;0.31874756042064522621;0.31874756042064522621
0.340;0.32773850678055627128;0.32773850678055621577;0.32773850678055627128;0.32773850678055621577;0.32773850678055621577
0.350;0.33667481938672799702;0.33667481938672794151;0.33667481938672799702;0.33667481938672794151;0.33667481938672794151
0.360;0.34555558058171298441;0.34555558058171298441;0.34555558058171298441;0.34555558058171298441;0.34555558058171298441
0.370;0.35437991912343863588;0.35437991912343863588;0.35437991912343863588;0.35437991912343863588;0.35437991912343863588
0.380;0.36314700994617710172;0.36314700994617715724;0.36314700994617710172;0.36314700994617715724;0.36314700994617715724
0.390;0.37185607384858210267;0.37185607384858210267;0.37185607384858210267;0.37185607384858210267;0.37185607384858210267
0.400;0.38050637711236573457;0.38050637711236584559;0.38050637711236573457;0.38050637711236584559;0.38050637711236584559
0.410;0.38909723105527926901;0.38909723105527921350;0.38909723105527926901;0.38909723105527921350;0.38909723105527921350
0.420;0.39762799152213013087;0.39762799152213024190;0.39762799152213013087;0.39762799152213024190;0.39762799152213024190
0.430;0.40609805831761647266;0.40609805831761652817;0.40609805831761647266;0.40609805831761652817;0.40609805831761652817
0.440;0.41450687458478679970;0.41450687458478679970;0.41450687458478679970;0.41450687458478679970;0.41450687458478679970
0.450;0.42285392613294153774;0.42285392613294153774;0.42285392613294153774;0.42285392613294153774;0.42285392613294153774
0.460;0.43113874071878299787;0.43113874071878310890;0.43113874071878299787;0.43113874071878310890;0.43113874071878310890
0.470;0.43936088728459227193;0.43936088728459238295;0.43936088728459227193;0.43936088728459238295;0.43936088728459238295
0.480;0.44751997515717073517;0.44751997515717073517;0.44751997515717073517;0.44751997515717073517;0.44751997515717073517
0.490;0.45561565321122532435;0.45561565321122526884;0.45561565321122532435;0.45561565321122526884;0.45561565321122526884
0.500;0.46364760900080692618;0.46364760900080675965;0.46364760900080692618;0.46364760900080675965;0.46364760900080687067
0.510;0.47161556786232844418;0.47161556786232838867;0.47161556786232844418;0.47161556786232838867;0.47161556786232849969
0.520;0.47951929199259696324;0.47951929199259690773;0.47951929199259696324;0.47951929199259690773;0.47951929199259674119
0.530;0.48735857950519106963;0.48735857950519106963;0.48735857950519106963;0.48735857950519106963;0.48735857950519095860
0.540;0.49513326346840491610;0.49513326346840491610;0.49513326346840491610;0.49513326346840491610;0.49513326346840502712
0.550;0.50284321092786166130;0.50284321092786166130;0.50284321092786166130;0.50284321092786166130;0.50284321092786177232
0.560;0.51048832191677662173;0.51048832191677684378;0.51048832191677662173;0.51048832191677684378;0.51048832191677684378
0.570;0.51806852845672179964;0.51806852845672191066;0.51806852845672179964;0.51806852845672191066;0.51806852845672191066
0.580;0.52558379355161100044;0.52558379355161111146;0.52558379355161100044;0.52558379355161111146;0.52558379355161111146
0.590;0.53303411017749080525;0.53303411017749091627;0.53303411017749080525;0.53303411017749091627;0.53303411017749091627
0.600;0.54041950027058494044;0.54041950027058505146;0.54041950027058494044;0.54041950027058505146;0.54041950027058505146
0.610;0.54774001371590319565;0.54774001371590363973;0.54774001371590330667;0.54774001371590363973;0.54774001371590363973
0.620;0.55499572733858759666;0.55499572733858737461;0.55499572733858759666;0.55499572733858737461;0.55499572733858737461
0.630;0.56218674390002998376;0.56218674390002998376;0.56218674390002998376;0.56218674390002998376;0.56218674390002998376
0.640;0.56931319110066269662;0.56931319110066291866;0.56931319110066269662;0.56931319110066291866;0.56931319110066291866
0.650;0.57637522059118451168;0.57637522059118440065;0.57637522059118451168;0.57637522059118440065;0.57637522059118440065
0.660;0.58337300699385674640;0.58337300699385641334;0.58337300699385674640;0.58337300699385641334;0.58337300699385641334
0.670;0.59030674693537277253;0.59030674693537255049;0.59030674693537277253;0.59030674693537255049;0.59030674693537255049
0.680;0.59717665809267839183;0.59717665809267828081;0.59717665809267828081;0.59717665809267839183;0.59717665809267828081
0.690;0.60398297825299873676;0.60398297825299895880;0.60398297825299873676;0.60398297825299895880;0.60398297825299895880
0.700;0.61072596438920945250;0.61072596438920923045;0.61072596438920934148;0.61072596438920923045;0.61072596438920923045
0.710;0.61740589175157345458;0.61740589175157356561;0.61740589175157345458;0.61740589175157356561;0.61740589175157356561
0.720;0.62402305297675764173;0.62402305297675775275;0.62402305297675764173;0.62402305297675775275;0.62402305297675775275
0.730;0.63057775721493558585;0.63057775721493547483;0.63057775721493558585;0.63057775721493547483;0.63057775721493547483
0.740;0.63707032927568441050;0.63707032927568452152;0.63707032927568429947;0.63707032927568452152;0.63707032927568452152
0.750;0.64350110879328514812;0.64350110879328503710;0.64350110879328514812;0.64350110879328492608;0.64350110879328492608
0.760;0.64987044941194838099;0.64987044941194838099;0.64987044941194838099;0.64987044941194838099;0.64987044941194838099
0.770;0.65617871799139559919;0.65617871799139548816;0.65617871799139559919;0.65617871799139548816;0.65617871799139548816
0.780;0.66242629383315199121;0.66242629383315210223;0.66242629383315199121;0.66242629383315210223;0.66242629383315210223
0.790;0.66861356792782167258;0.66861356792782156155;0.66861356792782167258;0.66861356792782156155;0.66861356792782156155
0.800;0.67474094222355340822;0.67474094222355318617;0.67474094222355340822;0.67474094222355318617;0.67474094222355318617
0.810;0.68080882891582839012;0.68080882891582816807;0.68080882891582827909;0.68080882891582816807;0.68080882891582816807
0.820;0.68681764975864600942;0.68681764975864634248;0.68681764975864600942;0.68681764975864645351;0.68681764975864645351
0.830;0.69276783539712294413;0.69276783539712294413;0.69276783539712294413;0.69276783539712294413;0.69276783539712294413
0.840;0.69865982472146392901;0.69865982472146404003;0.69865982472146392901;0.69865982472146404003;0.69865982472146404003
0.850;0.70449406424221849843;0.70449406424221827638;0.70449406424221849843;0.70449406424221827638;0.70449406424221827638
0.860;0.71027100748668703378;0.71027100748668692276;0.71027100748668692276;0.71027100748668703378;0.71027100748668692276
0.870;0.71599111441630092223;0.71599111441630158836;0.71599111441630092223;0.71599111441630158836;0.71599111441630158836
0.880;0.72165485086476199861;0.72165485086476188759;0.72165485086476199861;0.72165485086476188759;0.72165485086476188759
0.890;0.72726268799669102627;0.72726268799669091525;0.72726268799669102627;0.72726268799669080423;0.72726268799669102627
0.900;0.73281510178650732801;0.73281510178650732801;0.73281510178650732801;0.73281510178650743903;0.73281510178650732801
0.910;0.73831257251722870460;0.73831257251722848256;0.73831257251722881563;0.73831257251722859358;0.73831257251722859358
0.920;0.74375558429886068357;0.74375558429886035050;0.74375558429886057255;0.74375558429886023948;0.74375558429886023948
0.930;0.74914462460601793925;0.74914462460601782823;0.74914462460601805027;0.74914462460601793925;0.74914462460601805027
0.940;0.75448018383440640378;0.75448018383440551560;0.75448018383440640378;0.75448018383440573764;0.75448018383440573764
0.950;0.75976275487577160650;0.75976275487577238366;0.75976275487577149548;0.75976275487577227263;0.75976275487577216161
0.960;0.76499283271091100822;0.76499283271091200742;0.76499283271091089720;0.76499283271091211844;0.76499283271091211844
0.970;0.77017091402033177605;0.77017091402033177605;0.77017091402033166503;0.77017091402033177605;0.77017091402033144298
0.980;0.77529749681212711820;0.77529749681212656309;0.77529749681212711820;0.77529749681212645207;0.77529749681212656309
0.990;0.78037308006663663740;0.78037308006663652638;0.78037308006663663740;0.78037308006663652638;0.78037308006663663740
